method,epochs,max_points,metric
SGD,20,10000,51.80710983276367
SGD LRS,20,10000,49.40095901489258
Adam,20,10000,10.013978004455566
hybrid last gd,20,10000,49.680511474609375
hybrid,20,10000,51.44768524169922
SGD,20,20000,56.190093994140625
SGD LRS,20,20000,55.45127868652344
Adam,20,20000,10.00399398803711
hybrid last gd,20,20000,62.73961639404297
hybrid,20,20000,62.90934371948242
SGD,20,30000,55.151756286621094
SGD LRS,20,30000,59.265174865722656
Adam,20,30000,10.00399398803711
hybrid last gd,20,30000,63.218849182128906
hybrid,20,30000,63.61820983886719
SGD,20,40000,65.70487213134766
SGD LRS,20,40000,62.180511474609375
Adam,20,40000,9.994009971618652
hybrid last gd,20,40000,66.97284698486328
hybrid,20,40000,66.96286010742188
SGD,20,50000,67.55191802978516
SGD LRS,20,50000,57.66773223876953
Adam,20,50000,9.984025955200195
hybrid last gd,20,50000,68.35063934326172
hybrid,20,50000,67.55191802978516
