,method,epochs,max_points,accuracy
0,gd,10,1000,83.9557
1,hybrid last gd,10,1000,88.6282
2,hybrid,10,1000,83.3267
3,gd,10,5000,92.5519
4,hybrid last gd,10,5000,94.8083
5,hybrid,10,5000,93.2907
6,gd,10,10000,92.8115
7,hybrid last gd,10,10000,96.3658
8,hybrid,10,10000,90.3454
9,gd,20,1000,58.5563
10,hybrid last gd,20,1000,89.2372
11,hybrid,20,1000,86.6913
12,gd,20,5000,89.1274
13,hybrid last gd,20,5000,95.2576
14,hybrid,20,5000,94.6386
15,gd,20,10000,96.1062
16,hybrid last gd,20,10000,95.8966
17,hybrid,20,10000,90.7947
18,gd,30,1000,86.1721
19,hybrid last gd,30,1000,88.6581
20,hybrid,30,1000,85.3435
21,gd,30,5000,91.254
22,hybrid last gd,30,5000,94.4688
23,hybrid,30,5000,94.0695
24,gd,30,10000,94.9081
25,hybrid last gd,30,10000,95.8167
26,hybrid,30,10000,95.3474
